species,Scientific name,code,Local status,taxon,family,plumage,similar,identical,personality,ga.gen,ga.fl,ga.jv,ga.sa,ga.1w,ga.1s,ga.1y,ga.2w,ga.3w,ga.nb,ga.an,ga.ab,tips
Leach's storm petrel,Oceanodrama leucorhoa,LESP,Rare,Storm petrels,Hydrobatidae,AA,None,None,,"<strong>General:</strong>   WHITE RUMP PATCH! Otherwise dark, almost black. Storm petrels are small birds with slender, long wings. Have diagnostic bouyant, fast wing beats. Enormous forehead, small hooked bill.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Fork-tailed storm petrel,Oceanodrama furcata,FTSP,Common,Storm petrels,Hydrobatidae,AA,None,None,,"<strong>General:</strong>  NO WHITE RUMP PATCH. Otherwise gray with dark ""M"" on wings. Storm petrels are small birds with slender, long wings. Have diagnostic bouyant, fast wing beats. Enormous forehead, small hooked bill.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Double-crested cormorant,Phalacrocorax auritus,DCCO,Common,Cormorants,Phalacrocoracidae,JV-AN-AB,"Other cormorants, loons and grebes in flight",None,,"<strong>General:</strong>  Orange/yellow face. Largest cormorant, with thick crooked neck. Neck remains crooked in flight.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Pelagic cormorant,Phalacrocorax pelagicus,PECO,Common,Cormorants,Phalacrocoracidae,JV-AN-AB,"DC is more like brandt's.Other cormorants, loons and grebes in flight",JV and AN,,"<strong>General:</strong>  Smallest, most slender local cormorant. Snake-like neck and very thin bill. Red face, with oily-purple plumage as an adult.  ",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Brandt's cormorant,Phalacrocorax pencillatus,BRAC,Common,Cormorants,Phalacrocoracidae,JV-AN-AN,"Brandts is more like DC. Other cormorants, loons and grebes in flight",None,,<strong>General:</strong>  Middle cormorant in the area. Blue face. Thick neck but not crooked. Intermediate in all respects. ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Trumpeter swan,Cygnus buccinators,TRUS,Rare,Fowl,Anatidae,JV-1W-AA,Tundra swan,Tundra swan,,<strong>General:</strong>  Enormous white swan.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Tundra swam may occur in area but it is pooled with Trumpeter
Canada goose,Branta canadensis,CANG,Common,Fowl,Anatidae,JV-AA,Cackling goose,Cackling goose,,<strong>General:</strong>  Classic grey and black goose with white face. ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Cackling goose,Branta hutchinsii,CACG,Uncommon,Fowl,Anatidae,JV-AA,Canada goose,Canada goose,,"<strong>General:</strong>  More tan/yellow than the other geese, with orange and white face markings that stand out at a distance. Larger than Canadian.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Greater White-Fronted Goose,,,,Fowl,,AA,Dark morphs of snow geese,None,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Mallard duck,Anas platyrhynchus,MALL,Rare,Fowl,Anatidae,JV-AN-AB,Female mallards and female pintails,MAB and FNB and ENB,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,"Male breeding mallards are known. All other mallards are pooled: adult breeding females, adult nonbreeding males and females, and juveniles"
Northern pintail,Anas acuta,NOPI,Rare,Fowl,Anatidae,JV-AN-AB,Female mallards and female pintails,MAB and FNB and ENB,,<strong>General:</strong> Pointed tail feathers.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,"Male breeding pintails are known. All other pintails are pooled: nonbreeding males and females, breeding females and juveniles"
Northern shoveler,Anas clypeata,NSHO,Rare,Fowl,Anatidae,JV-AN-AB,None,JV and AAF,,<strong>General:</strong>  Enormous but slender bill.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,Juvenile of both sexes and adult female are indistinguishible. Male can be distinguished at both adult nonbreeding and adult breeding
Greater scaup,Aythya marila,GRSC,Uncommon,Fowl,Anatidae,JV-AN-AB,Lesser scaup,Lesser scaup; JV and AB both sexes,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Lesser scaup,Aythya affinis,LESC,Uncommon,Fowl,Anatidae,JV-AN-AB,Greater scaup,Greater scaup,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Common goldeneye,Bucephela albeola,COGO,Uncommon,Fowl,Anatidae,JV-AN-AB,Barrow's goldeneye,Barrow's goldeneye,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Barrow's goldeneye,,BAGO,,Fowl,Anatidae,JV-AN-AB,Common goldeneye,Common goldeneye,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Harlequin duck,Histrionicus histrionicus,HADU,Uncommon,Fowl,Anatidae,JV-AN-AB,Surf scoter,None,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Long-tailed duck,Clangula hyemalis,LTDU,Rare,Fowl,Anatidae,JV-AB-AW,None,,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Black scoter,Melanitta nigra,BLSC,Rare,Fowl,Anatidae,JV-1S-1W-AA,Other scoters,All non-adult-male plumages ,,<strong>General:</strong>  Enormous sea duck. Rarest scoter in area during summer. No white markings on male's face or either sex's wings.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Surf Scoter,Melanitta perspicillita,SUSC,Common,Fowl,Anatidae,JV-1S-1W-AA,Other scoters,All non-adult-male plumages,,"<strong>General:</strong>  Enormous sea duck, most common locally by far. Clown face. No white on wings. ",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
White-winged scoter,Melanitta fusca,WWSC,Uncommon,Fowl,Anatidae,JV-1S-1W-AA,Other scoters,All non-adult-male plumages,,<strong>General:</strong>  Enormous sea duck. Second most common scoter. White on wings is diagnostic among scoters. ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Hooded merganser,Lophodyles cucullatus,HOME,Rare,Fowl,Anatidae,JV-1S-AN-AB,Other mergansers and dabblers,All non-adult-breeding-male plumages,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Common merganser,Mergus merganser,COME,Uncommon,Fowl,Anatidae,JV-AN-AB,Other mergansers,All non-adult-breeding-male plumages,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Red-breasted merganser,Mergus serrator,RBME,Uncommon,Fowl,Anatidae,JV-AN-AB,Other mergansers,All non-adult-breeding-male plumages,,<strong>General:</strong>  ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Red-necked phalarope,Phalaropus lobatus,RNPH,Common,Phalaropes,Scolopacidae,JV-AN-AB,Other phalaropes and shorebirds,,,"<strong>General:</strong>  The only expected pharalope in the area. Face mask curves down cheek (it curves up in Red phalaope). White ""M"" chevron in flight. Top heavy and long of neck while sitting, but tucks neck in flight to appear very different.  Classic ""flock tacking"" tactic while crossing bodies of water.",<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,
Pomarine jaeger,Stercorarius pomarinus,POJA,Rare,Jaegers,Stercorariidae,"JV(dark,int,light)-AN(light)-AB(light-dark)","Other jaegers, NA large gulls",Other jaegers,,<strong>General:</strong>  Largest and darkest jaeger. ,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,least frequent inland jaeger in most of the west
Parasitic jaeger,Stercorarius parasiticus,PAJA,Rare,Jaegers,Stercorariidae,"JV(dark,int,light)-AN(light)-AB(dark,int,light)","Other jaegers, NA large gulls",Other jaegers,,<strong>General:</strong>   The intermediate jaeger.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,usually solitary; usually steals fish; 
Long-tailed jaeger,Stercorarius longicaudus,LTJA,Rare,Jaegers,Stercorariidae,"JV(dark,int,light)-AN-AB","Other jaegers, NA large gulls",Other jaegers,,<strong>General:</strong>  Smallest local jaeger. Little to no collar; lightest plumage.,<strong>Fledgling:</strong>,<strong>Juvenile:</strong> ,<strong>Subadult:</strong>,<strong>1st winter:</strong>,<strong>1st summer:</strong>,<strong>1st year:</strong>,<strong>2nd winter:</strong>,<strong>3rd winter:</strong>,<strong>Non-breeding:</strong>,<strong>Adult non-breeding:</strong>,<strong>Adult breeding:</strong>,usually solitary; rarely steals food; smallest and most elegant
Bonaparte's gull,Larus philadelphia,BOGU,Common,Gulls,Laridae,JV-1W-1S-AN-AB,Young BLKI - Terns,,,<strong>General:</strong>  Smallest area gull. Bill always black.,<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
Mew gull,Larus canus,MEGU,Common,Gulls,Laridae,JV-1S-1W-2W-AN-AB,Adult BLKI- California,,,"<strong>General:</strong>   <br/>Size:Categorically small.  2nd smallest gull.  <br/>Wing tips: Black, intermediate extent, sharp boundary. <br/>Head: Round large head. <br/>Bill:  <br/>Eye: Cartoonishly large eyes.  <br/>Posture: Often flies with shoulders higher than tail.  <br/>Wings: Quite curved in flight.  <br/>Legs:  <br/>Other: As cute and meager as ""mew"" implies.",<strong>Fledgling: <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Juvenile:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Subadult:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st summer:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>1st year:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>2nd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>3rd winter:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Non-breeding:</strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult non-breeding:</strong>   <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,<strong>Adult breeding: </strong>  <br/>Size: <br/>Wing tips:  <br/>Head: <br/>Bill:  <br/>Eye:  <br/>Posture:  <br/>Wings:  <br/>Legs:  <br/>Other: ,
